Longitude,Latitude,Pixel,Scan
163.273716,21.5638279,0,0
163.253291,21.5646334,100,0
163.232868,21.5654364,200,0
163.212446,21.5662369,300,0
163.192025,21.5670347,400,0
163.171606,21.5678301,500,0
163.151187,21.5686228,600,0
163.13077,21.569413,700,0
163.110354,21.5702006,800,0
163.089938,21.5709857,900,0
163.069524,21.5717683,1000,0
163.049109,21.5725483,1100,0
163.028696,21.5733258,1200,0
163.008282,21.5741008,1300,0
162.98787,21.5748732,1400,0
162.967457,21.5756432,1500,0
162.947044,21.5764106,1600,0
162.926631,21.5771755,1700,0
162.906219,21.5779378,1800,0
162.885806,21.5786977,1900,0
162.865392,21.5794551,2000,0
162.844979,21.58021,2100,0
162.824564,21.5809624,2200,0
162.804149,21.5817123,2300,0
162.783734,21.5824597,2400,0
162.763317,21.5832046,2500,0
162.7429,21.5839471,2600,0
162.722481,21.5846871,2700,0
162.702062,21.5854246,2800,0
162.681641,21.5861596,2900,0
162.661219,21.5868922,3000,0
162.640795,21.5876223,3100,0
162.62037,21.5883499,3200,0
162.599943,21.5890751,3300,0
162.579515,21.5897979,3400,0
162.559084,21.5905181,3500,0
162.538652,21.591236,3600,0
162.518217,21.5919514,3700,0
162.49778,21.5926643,3800,0
162.477341,21.5933748,3900,0
162.457104,21.5940758,3999,0
163.272902,21.5476472,0,100
163.252479,21.5484528,100,100
163.232058,21.5492557,200,100
163.211638,21.5500561,300,100
163.19122,21.550854,400,100
163.170803,21.5516493,500,100
163.150387,21.552442,600,100
163.129972,21.5532321,700,100
163.109558,21.5540198,800,100
163.089145,21.5548048,900,100
163.068732,21.5555874,1000,100
163.048321,21.5563674,1100,100
163.027909,21.5571449,1200,100
163.007498,21.5579198,1300,100
162.987088,21.5586923,1400,100
162.966677,21.5594622,1500,100
162.946267,21.5602296,1600,100
162.925856,21.5609945,1700,100
162.905446,21.5617568,1800,100
162.885035,21.5625167,1900,100
162.864624,21.5632741,2000,100
162.844213,21.564029,2100,100
162.823801,21.5647814,2200,100
162.803388,21.5655313,2300,100
162.782975,21.5662787,2400,100
162.762561,21.5670237,2500,100
162.742146,21.5677662,2600,100
162.72173,21.5685061,2700,100
162.701312,21.5692437,2800,100
162.680894,21.5699787,2900,100
162.660474,21.5707113,3000,100
162.640053,21.5714414,3100,100
162.61963,21.5721691,3200,100
162.599205,21.5728943,3300,100
162.578779,21.5736171,3400,100
162.558351,21.5743374,3500,100
162.53792,21.5750553,3600,100
162.517488,21.5757707,3700,100
162.497054,21.5764837,3800,100
162.476617,21.5771943,3900,100
162.456382,21.5778953,3999,100
163.27207,21.5313552,0,200
163.25165,21.5321602,100,200
163.231231,21.5329626,200,200
163.210813,21.5337624,300,200
163.190397,21.5345596,400,200
163.169983,21.5353543,500,200
163.149569,21.5361465,600,200
163.129156,21.5369361,700,200
163.108745,21.5377231,800,200
163.088334,21.5385077,900,200
163.067924,21.5392896,1000,200
163.047514,21.5400691,1100,200
163.027105,21.540846,1200,200
163.006696,21.5416204,1300,200
162.986288,21.5423923,1400,200
162.96588,21.5431616,1500,200
162.945472,21.5439285,1600,200
162.925064,21.5446928,1700,200
162.904656,21.5454546,1800,200
